country,year,sex,age,suicide_no,population,suicides_per_100k,HDI_for_year,gdp_for_year,gdp_per_capita,generation
Argentina,1990,male,75+ years,226,411100,54.97,0.707,1.41352E+11,4859,G.I. Generation
Argentina,1990,male,55-74 years,502,2128000,23.59,0.707,1.41352E+11,4859,G.I. Generation
Argentina,1990,male,35-54 years,439,3619000,12.13,0.707,1.41352E+11,4859,Silent
Argentina,1990,female,75+ years,61,643000,9.49,0.707,1.41352E+11,4859,G.I. Generation
Argentina,1990,male,25-34 years,182,2297000,7.92,0.707,1.41352E+11,4859,Boomers
Argentina,1990,female,55-74 years,190,2477000,7.67,0.707,1.41352E+11,4859,G.I. Generation
Argentina,1990,male,15-24 years,174,2635000,6.6,0.707,1.41352E+11,4859,Generation X
Argentina,1990,female,35-54 years,163,3622000,4.5,0.707,1.41352E+11,4859,Silent
Argentina,1990,female,15-24 years,91,2568000,3.54,0.707,1.41352E+11,4859,Generation X
Argentina,1990,female,25-34 years,76,2251000,3.38,0.707,1.41352E+11,4859,Boomers
Argentina,1990,male,5-14 years,22,3269000,0.67,0.707,1.41352E+11,4859,Generation X
Argentina,1990,female,5-14 years,14,3171000,0.44,0.707,1.41352E+11,4859,Generation X
Argentina,1991,male,75+ years,184,396000,46.46,0.714,1.8972E+11,6404,G.I. Generation
Argentina,1991,male,55-74 years,449,2130000,21.08,0.714,1.8972E+11,6404,Silent
Argentina,1991,male,35-54 years,398,3580000,11.12,0.714,1.8972E+11,6404,Boomers
Argentina,1991,male,25-34 years,214,2277000,9.4,0.714,1.8972E+11,6404,Boomers
Argentina,1991,female,75+ years,50,658000,7.6,0.714,1.8972E+11,6404,G.I. Generation
Argentina,1991,female,55-74 years,169,2508000,6.74,0.714,1.8972E+11,6404,Silent
Argentina,1991,male,15-24 years,179,2738000,6.54,0.714,1.8972E+11,6404,Generation X
Argentina,1991,female,35-54 years,133,3691000,3.6,0.714,1.8972E+11,6404,Boomers
Argentina,1991,female,25-34 years,77,2310000,3.33,0.714,1.8972E+11,6404,Boomers
Argentina,1991,female,15-24 years,61,2689000,2.27,0.714,1.8972E+11,6404,Generation X
Argentina,1991,male,5-14 years,28,3369000,0.83,0.714,1.8972E+11,6404,Millenials
Argentina,1991,female,5-14 years,9,3277000,0.27,0.714,1.8972E+11,6404,Millenials
Argentina,1992,male,75+ years,194,404900,47.91,0.719,2.28789E+11,7615,G.I. Generation
Argentina,1992,male,55-74 years,500,2150500,23.25,0.719,2.28789E+11,7615,Silent
Argentina,1992,male,35-54 years,488,3616600,13.49,0.719,2.28789E+11,7615,Boomers
Argentina,1992,male,25-34 years,227,2306200,9.84,0.719,2.28789E+11,7615,Boomers
Argentina,1992,male,15-24 years,249,2834100,8.79,0.719,2.28789E+11,7615,Generation X
Argentina,1992,female,75+ years,46,678000,6.78,0.719,2.28789E+11,7615,G.I. Generation
Argentina,1992,female,55-74 years,147,2538400,5.79,0.719,2.28789E+11,7615,Silent
Argentina,1992,female,35-54 years,140,3755500,3.73,0.719,2.28789E+11,7615,Boomers
Argentina,1992,female,25-34 years,79,2329100,3.39,0.719,2.28789E+11,7615,Boomers
Argentina,1992,female,15-24 years,79,2783500,2.84,0.719,2.28789E+11,7615,Generation X
Argentina,1992,male,5-14 years,22,3371800,0.65,0.719,2.28789E+11,7615,Millenials
Argentina,1992,female,5-14 years,13,3276800,0.4,0.719,2.28789E+11,7615,Millenials
Argentina,1993,male,75+ years,229,413600,55.37,0.725,2.36742E+11,7768,G.I. Generation
Argentina,1993,male,55-74 years,520,2171500,23.95,0.725,2.36742E+11,7768,Silent
Argentina,1993,male,35-54 years,495,3672300,13.48,0.725,2.36742E+11,7768,Boomers
Argentina,1993,male,25-34 years,233,2336300,9.97,0.725,2.36742E+11,7768,Boomers
Argentina,1993,female,75+ years,58,698400,8.3,0.725,2.36742E+11,7768,G.I. Generation
Argentina,1993,male,15-24 years,235,2932300,8.01,0.725,2.36742E+11,7768,Generation X
Argentina,1993,female,55-74 years,126,2568300,4.91,0.725,2.36742E+11,7768,Silent
Argentina,1993,female,35-54 years,144,3820400,3.77,0.725,2.36742E+11,7768,Boomers
Argentina,1993,female,25-34 years,76,2347800,3.24,0.725,2.36742E+11,7768,Boomers
Argentina,1993,female,15-24 years,73,2879300,2.54,0.725,2.36742E+11,7768,Generation X
Argentina,1993,male,5-14 years,25,3367500,0.74,0.725,2.36742E+11,7768,Millenials
Argentina,1993,female,5-14 years,16,3269800,0.49,0.725,2.36742E+11,7768,Millenials
Argentina,1994,male,75+ years,192,423100,45.38,0.729,2.5744E+11,8328,G.I. Generation
Argentina,1994,male,55-74 years,509,2192500,23.22,0.729,2.5744E+11,8328,Silent
Argentina,1994,male,35-54 years,527,3729600,14.13,0.729,2.5744E+11,8328,Boomers
Argentina,1994,male,25-34 years,226,2369000,9.54,0.729,2.5744E+11,8328,Boomers
Argentina,1994,male,15-24 years,250,3027200,8.26,0.729,2.5744E+11,8328,Generation X
Argentina,1994,female,55-74 years,135,2597400,5.2,0.729,2.5744E+11,8328,Silent
Argentina,1994,female,75+ years,34,719700,4.72,0.729,2.5744E+11,8328,G.I. Generation
Argentina,1994,female,35-54 years,160,3885600,4.12,0.729,2.5744E+11,8328,Boomers
Argentina,1994,female,15-24 years,98,2971300,3.3,0.729,2.5744E+11,8328,Generation X
Argentina,1994,female,25-34 years,72,2369900,3.04,0.729,2.5744E+11,8328,Boomers
Argentina,1994,male,5-14 years,27,3363000,0.8,0.729,2.5744E+11,8328,Millenials
Argentina,1994,female,5-14 years,11,3262900,0.34,0.729,2.5744E+11,8328,Millenials
Argentina,1995,male,75+ years,190,433800,43.8,0.731,2.58032E+11,8232,G.I. Generation
Argentina,1995,male,55-74 years,515,2214000,23.26,0.731,2.58032E+11,8232,Silent
Argentina,1995,male,35-54 years,485,3787800,12.8,0.731,2.58032E+11,8232,Boomers
Argentina,1995,male,25-34 years,218,2404900,9.06,0.731,2.58032E+11,8232,Generation X
Argentina,1995,male,15-24 years,277,3112100,8.9,0.731,2.58032E+11,8232,Generation X
Argentina,1995,female,75+ years,49,742200,6.6,0.731,2.58032E+11,8232,G.I. Generation
Argentina,1995,female,55-74 years,134,2625900,5.1,0.731,2.58032E+11,8232,Silent
Argentina,1995,female,35-54 years,139,3950100,3.52,0.731,2.58032E+11,8232,Boomers
Argentina,1995,female,15-24 years,101,3053300,3.31,0.731,2.58032E+11,8232,Generation X
Argentina,1995,female,25-34 years,62,2396900,2.59,0.731,2.58032E+11,8232,Generation X
Argentina,1995,female,5-14 years,19,3261100,0.58,0.731,2.58032E+11,8232,Millenials
Argentina,1995,male,5-14 years,15,3363300,0.45,0.731,2.58032E+11,8232,Millenials
Argentina,1996,male,75+ years,189,445800,42.4,0.738,2.7215E+11,8563,G.I. Generation
Argentina,1996,male,55-74 years,464,2235900,20.75,0.738,2.7215E+11,8563,Silent
